,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Porto-Vecchio,FR,65.86,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
208,Gizo,SB,83.55,scattered clouds,-8.103,156.8419,Imagination Island
209,Sampit,ID,75.0,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
210,Marawi,PH,69.57,overcast clouds,7.9986,124.2928,Derogongan Residence
211,Fomboni,KM,76.19,clear sky,-12.28,43.7425,Auberge les abou
215,Loa Janan,ID,74.21,overcast clouds,-0.583,117.095,Kost Garuda
217,Kavieng,PG,83.21,light rain,-2.5744,150.7967,Nusa Island Retreat
219,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
221,Anito,PH,77.9,heavy intensity rain,12.4497,125.2886,El Felix Cottages
222,West Bay,KY,85.06,few clouds,19.3667,-81.4167,Calypso Cove
223,Salur,IN,73.49,few clouds,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
224,Coruripe,BR,74.17,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
227,Hambantota,LK,77.32,overcast clouds,6.1241,81.1185,Bungalow 63
229,Zambezi,ZM,66.49,few clouds,-13.5432,23.1047,Royal Kutachika Lodge
230,Biu,NG,72.88,scattered clouds,10.6129,12.1946,Emir's Palace
232,Xacmaz,AZ,60.51,overcast clouds,41.4635,48.806,Ulduz Hotel
235,Manzanillo,CU,83.21,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
237,Karratha,AU,70.34,clear sky,-20.7377,116.8463,ibis Styles Karratha
239,Tessalit,ML,84.58,broken clouds,20.1986,1.0114,
240,Bam,IR,74.3,clear sky,29.106,58.357,Bam Tourist Hotel
242,Clearlake,US,72.36,clear sky,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
243,Menongue,AO,66.63,overcast clouds,-14.6585,17.691,Ritz Lauca
244,Kaduna,NG,71.42,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
245,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
249,Hounde,BF,80.04,few clouds,11.5,-3.5167,Carrefour où ouvriers dorment
251,Songling,CN,60.49,clear sky,31.1933,120.7176,苏州同里湖大饭店
256,Price,US,70.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
257,Harper,LR,76.37,overcast clouds,4.375,-7.7169,Screensaver
258,Mahibadhoo,MV,80.35,overcast clouds,3.7833,72.9667,Omadhoo Inn
259,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
260,Dwarka,IN,81.52,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
261,Kihei,US,87.82,clear sky,20.785,-156.4656,Maui Sunset
262,Upata,VE,76.89,overcast clouds,8.0086,-62.3989,Posada Villa Nela
263,Vila Velha,BR,73.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
264,Bandarbeyla,SO,77.13,clear sky,9.4942,50.8122,JABIR HOTEL
